outcome,idx_original,y_true,y_pred,score,EDAD,PAIS,ETNIA.BN,GENERO.BN0,GENERO.BN1,ORIENTSEX.BN0,ORIENTSEX.BN1
Victim-perpetrator overlap,437,0,1,0.52625114,15.0,True,False,True,False,False,True
Victim-perpetrator overlap,443,1,1,0.6133617,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,445,0,0,0.38417646,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,447,0,1,0.5362759,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,453,1,1,0.5798648,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,473,1,1,0.5869245,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,474,0,0,0.48213682,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,475,0,0,0.47999632,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,477,0,1,0.52233946,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,487,0,1,0.5552417,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,491,0,1,0.67946506,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,493,0,1,0.6522605,17.0,False,True,True,False,True,False
Victim-perpetrator overlap,498,0,1,0.5959858,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,499,0,0,0.47623566,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,504,0,0,0.4632441,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,508,0,0,0.4953024,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,511,0,1,0.501713,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,513,0,0,0.45527115,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,516,0,0,0.42598844,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,519,0,1,0.6043884,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,520,0,0,0.44344115,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,521,0,0,0.4384276,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,524,0,0,0.45746744,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,525,0,0,0.43744558,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,528,0,1,0.57374376,17.0,True,False,True,False,False,True
Victim-perpetrator overlap,529,0,0,0.49547625,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,537,0,0,0.45458797,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,540,1,1,0.5095182,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,541,1,0,0.47657445,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,544,0,0,0.46613735,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,545,0,0,0.44161233,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,565,0,0,0.44919398,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,566,1,1,0.6082786,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,569,0,0,0.45391583,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,581,1,0,0.44657272,16.0,True,True,True,False,True,False
Victim-perpetrator overlap,582,0,1,0.5600135,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,584,0,1,0.51000273,15.0,True,False,False,True,False,True
Victim-perpetrator overlap,588,0,0,0.4761799,17.0,True,True,False,True,True,False
Victim-perpetrator overlap,591,0,0,0.40473023,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,595,0,0,0.46940872,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,602,0,0,0.47458887,16.0,False,False,True,False,True,False
Victim-perpetrator overlap,610,0,0,0.48476645,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,611,0,0,0.4513433,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,613,1,1,0.609953,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,619,0,1,0.58848166,17.0,True,False,True,False,False,True
Victim-perpetrator overlap,620,0,1,0.555912,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,634,0,1,0.502405,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,635,0,0,0.4367577,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,638,1,1,0.6321071,17.0,True,False,False,True,False,True
Victim-perpetrator overlap,640,0,0,0.45133895,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,644,0,1,0.5067193,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,648,0,1,0.5453483,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,653,0,0,0.48724315,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,655,0,0,0.45676795,16.0,True,True,True,False,True,False
Victim-perpetrator overlap,662,0,0,0.4930189,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,664,0,0,0.44316453,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,667,1,1,0.5200807,15.0,False,False,True,False,True,False
Victim-perpetrator overlap,668,0,0,0.4606578,16.0,False,False,True,False,True,False
Victim-perpetrator overlap,671,1,1,0.50100005,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,674,0,1,0.5556874,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,681,0,0,0.47932827,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,698,0,1,0.514759,16.0,True,True,True,False,True,False
Victim-perpetrator overlap,700,1,1,0.5391879,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,701,0,1,0.5474421,15.0,True,False,True,False,False,True
Victim-perpetrator overlap,702,0,1,0.5139999,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,703,0,1,0.51000553,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,708,0,0,0.49144545,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,712,0,1,0.5406243,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,721,0,1,0.65603626,17.0,True,True,False,True,True,False
Victim-perpetrator overlap,725,0,0,0.4654076,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,727,0,0,0.47955674,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,733,0,0,0.426987,17.0,False,False,False,True,True,False
Victim-perpetrator overlap,739,0,1,0.5139115,16.0,False,False,False,True,False,True
Victim-perpetrator overlap,742,0,1,0.5302892,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,745,0,1,0.5769781,16.0,True,True,False,True,False,True
Victim-perpetrator overlap,752,0,1,0.553478,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,758,1,1,0.56123114,16.0,True,False,True,False,False,True
Victim-perpetrator overlap,764,0,0,0.46988884,16.0,True,True,True,False,True,False
Victim-perpetrator overlap,769,0,0,0.4959789,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,777,0,1,0.5650585,17.0,False,True,True,False,True,False
Victim-perpetrator overlap,778,1,1,0.6005496,16.0,True,True,True,False,True,False
Victim-perpetrator overlap,780,0,1,0.5704584,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,789,0,1,0.6416925,17.0,True,False,False,True,False,True
Victim-perpetrator overlap,796,0,1,0.5244792,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,798,1,1,0.521437,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,799,0,0,0.47025588,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,801,0,0,0.451626,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,807,0,0,0.45527503,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,809,0,0,0.4498625,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,814,0,0,0.48912743,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,815,0,0,0.45220563,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,816,0,0,0.44591886,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,823,0,1,0.50172704,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,825,0,1,0.5212041,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,829,0,1,0.5613778,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,833,0,0,0.47598267,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,835,0,0,0.4743491,16.0,True,True,False,True,True,False
Victim-perpetrator overlap,836,0,0,0.46176165,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,840,0,1,0.5036722,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,843,0,0,0.45497274,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,845,0,0,0.48247403,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,846,1,0,0.46672225,17.0,False,False,True,False,True,False
Victim-perpetrator overlap,850,0,0,0.48866442,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,853,0,1,0.55341005,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,856,1,1,0.55947185,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,858,0,0,0.46384576,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,864,0,0,0.37017727,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,866,0,1,0.5164086,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,867,0,0,0.38866723,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,875,0,0,0.4207903,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,885,0,1,0.5457519,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,886,0,0,0.4382733,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,889,0,1,0.5310423,14.0,True,False,False,True,False,True
Victim-perpetrator overlap,890,0,0,0.42986396,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,895,0,0,0.46367317,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,896,1,1,0.54712015,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,897,0,1,0.510807,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,901,0,0,0.40950337,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,904,0,0,0.48427865,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,905,0,0,0.49893335,14.0,True,True,False,True,True,False
Victim-perpetrator overlap,916,0,0,0.43155938,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,921,1,0,0.4305062,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,923,0,0,0.43784383,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,929,1,1,0.65419775,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,932,0,1,0.55637777,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,933,0,0,0.4774783,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,934,1,0,0.46288544,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,939,1,0,0.44997767,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,942,0,0,0.4711222,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,944,1,1,0.5033676,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,946,0,0,0.38162583,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,949,0,0,0.42341885,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,956,0,0,0.45625374,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,958,0,1,0.6140183,14.0,True,False,False,True,False,True
Victim-perpetrator overlap,960,0,0,0.48432192,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,961,0,0,0.4401406,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,964,0,1,0.6008729,15.0,False,True,False,True,True,False
Victim-perpetrator overlap,970,1,1,0.5477283,14.0,False,False,False,True,False,True
Victim-perpetrator overlap,972,0,1,0.5847825,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,973,0,1,0.5976274,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,976,0,0,0.42021072,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,978,0,0,0.45745382,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,982,0,1,0.5251926,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,987,0,0,0.47839066,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,994,0,0,0.4898331,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,1000,0,1,0.57728505,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,1001,0,0,0.46767563,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,1002,0,0,0.47047392,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,1011,0,1,0.5486066,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,1022,0,1,0.53684026,17.0,True,False,True,False,False,True
Victim-perpetrator overlap,1023,0,1,0.51541716,16.0,True,True,True,False,True,False
Victim-perpetrator overlap,1032,0,1,0.5573734,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,1034,0,0,0.42540807,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,1037,0,0,0.4167273,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1039,0,1,0.56767,14.0,True,True,True,False,True,False
Victim-perpetrator overlap,1042,0,0,0.44555312,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,1044,0,1,0.5508348,14.0,True,False,False,True,False,True
Victim-perpetrator overlap,1046,0,1,0.5358727,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1059,0,0,0.4763371,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1060,1,1,0.5942326,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1061,0,0,0.4994576,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1062,0,0,0.47921222,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1064,0,0,0.4017174,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1065,0,0,0.45075238,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1071,0,0,0.46525028,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,1074,0,1,0.60201776,16.0,True,False,True,False,False,True
Victim-perpetrator overlap,1079,0,1,0.5067344,17.0,True,True,True,False,True,False
Victim-perpetrator overlap,1081,0,0,0.4823276,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,1084,0,1,0.50988376,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1088,0,0,0.4158417,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,1089,0,0,0.40777862,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1090,0,0,0.40782246,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1091,1,1,0.73332906,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,1093,0,0,0.498559,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1097,1,1,0.6139619,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,1098,0,0,0.40874603,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,1110,0,0,0.41841158,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1111,0,1,0.5454598,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1112,0,1,0.5475173,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1115,0,0,0.45726994,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1140,0,0,0.4713367,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1144,0,1,0.5349124,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,1148,0,0,0.47681358,15.0,True,False,True,False,False,True
Victim-perpetrator overlap,1153,0,0,0.4021046,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1163,1,1,0.58388615,15.0,True,False,False,True,False,True
Victim-perpetrator overlap,1180,0,1,0.5743012,15.0,False,True,True,False,True,False
Victim-perpetrator overlap,1182,0,0,0.43651164,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1183,0,0,0.46332175,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1184,0,0,0.49750146,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1186,0,0,0.4590004,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1188,0,0,0.490049,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1189,0,0,0.48719323,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1197,1,1,0.6212632,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1199,0,0,0.48313704,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1203,0,0,0.4545707,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1204,1,1,0.50977916,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,1206,0,1,0.5314742,15.0,True,False,True,False,False,True
Victim-perpetrator overlap,1207,1,1,0.7178796,14.0,True,False,False,True,False,True
Victim-perpetrator overlap,1211,0,1,0.5417141,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1213,0,1,0.5730841,16.0,False,True,False,True,True,False
Victim-perpetrator overlap,1216,0,0,0.48805925,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,1230,0,0,0.4467109,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1231,0,1,0.51328796,15.0,True,False,True,False,False,True
Victim-perpetrator overlap,1234,0,0,0.39741144,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1235,0,0,0.3992977,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1247,0,0,0.40112928,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1251,0,0,0.4752243,14.0,True,False,False,True,False,True
Victim-perpetrator overlap,1254,0,1,0.5451044,14.0,True,True,False,True,True,False
Victim-perpetrator overlap,1255,0,1,0.51867384,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,1258,0,0,0.337506,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1259,0,0,0.4456757,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,1260,0,0,0.37359384,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1267,0,1,0.5024661,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,1268,1,1,0.6583815,16.0,True,True,False,True,True,False
Victim-perpetrator overlap,1272,0,1,0.6987869,17.0,False,True,False,True,True,False
Victim-perpetrator overlap,1278,0,0,0.478556,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,1282,0,0,0.43236798,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,1289,0,1,0.62643397,16.0,True,True,False,True,True,False
Victim-perpetrator overlap,1299,0,0,0.46362093,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,1301,1,1,0.5285865,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,1313,0,1,0.571251,15.0,True,True,False,True,False,True
Victim-perpetrator overlap,1314,0,1,0.6142974,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,1316,0,1,0.59134287,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,1319,0,1,0.64153916,15.0,True,False,False,True,False,True
Victim-perpetrator overlap,1320,0,1,0.5474891,15.0,True,True,False,True,False,True
Victim-perpetrator overlap,1323,0,0,0.4458311,14.0,True,True,True,False,True,False
Victim-perpetrator overlap,1330,0,1,0.64047694,15.0,True,True,False,True,True,False
Victim-perpetrator overlap,1331,0,1,0.76231796,17.0,False,True,False,True,False,True
Victim-perpetrator overlap,1335,0,1,0.54669064,15.0,True,False,False,True,False,True
Victim-perpetrator overlap,1336,0,1,0.6248103,16.0,False,True,True,False,True,False
Victim-perpetrator overlap,1349,1,1,0.5797977,14.0,True,True,False,True,True,False
Victim-perpetrator overlap,1351,0,0,0.476793,14.0,True,True,True,False,True,False
Victim-perpetrator overlap,1355,0,0,0.36852333,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1358,1,0,0.46585116,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,1371,1,1,0.5779462,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,1381,0,0,0.4232891,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,1384,1,1,0.6153262,14.0,True,False,False,True,False,True
Victim-perpetrator overlap,1387,0,1,0.54909307,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,1390,0,1,0.6528889,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,1395,0,1,0.58269423,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,1398,0,1,0.5157405,16.0,True,False,False,True,False,True
Victim-perpetrator overlap,1399,0,0,0.46759358,16.0,True,False,True,False,True,False
